#     Step             Time      Temperature                E_kin                     E_pot             Pressure
         0           0.0000        6034.9799          38.22398024        -216.33356549       26117.41798684
         1           0.5000        6000.6059          38.00626451        -216.47671880       23235.62813198
         2           1.0000        6009.7113          38.06393559        -216.70238080       19778.38394627
         3           1.5000        6086.2795          38.54889805        -216.95841739       16430.99571679
         4           2.0000        6174.2439          39.10604170        -217.18830901       12945.44166894
         5           2.5000        6248.9675          39.57932153        -217.35740688        9478.53231488
         6           3.0000        6196.6098          39.24770174        -217.47873542        5021.76841721
         7           3.5000        6149.2694          38.94785963        -217.56309826        1446.72966122
         8           4.0000        6187.9334          39.19274761        -217.62442482       -1562.86630527
         9           4.5000        6098.4891          38.62623047        -217.70702397       -4964.52698430
        10           5.0000        6060.3780          38.38484487        -217.82651966       -7093.86802882
        11           5.5000        6085.7201          38.54535519        -217.97182389       -7473.96808845
        12           6.0000        6115.3262          38.73287225        -218.09258028       -7292.75916246
        13           6.5000        6065.0835          38.41464814        -218.17427707       -7253.98349644
        14           7.0000        5927.9119          37.54583950        -218.23314258       -7299.62014062
        15           7.5000        5955.8671          37.72290015        -218.27506347       -4810.28302199
        16           8.0000        5973.7457          37.83613892        -218.20136954       -2469.75505813
        17           8.5000        5905.6900          37.40509171        -217.91896259        -417.79972456
        18           9.0000        5814.6743          36.82862200        -217.48525453        1514.29321674
        19           9.5000        5679.4519          35.97215885        -217.14898493        2452.98446162
        20          10.0000        5674.7270          35.94223250        -217.21831720        2144.65349988
        21          10.5000        5716.9030          36.20936428        -217.77369011         388.43326654
        22          11.0000        5722.2936          36.24350738        -218.41535765       -3113.98564323
        23          11.5000        5730.3503          36.29453586        -218.75651968       -5920.09397166
        24          12.0000        5621.7047          35.60640368        -218.66533528       -9140.88793485
        25          12.5000        5544.9159          35.12004316        -218.22677909      -11660.81587774
        26          13.0000        5542.2004          35.10284411        -217.61341244      -12603.83167285
        27          13.5000        5536.0039          35.06359687        -217.04136986      -12971.06330566
        28          14.0000        5480.1394          34.70976604        -216.66450750      -12671.70104452
        29          14.5000        5456.9939          34.56316809        -216.51801949      -11262.82824498
        30          15.0000        5400.8079          34.20730086        -216.48786116       -9397.60816689
        31          15.5000        5356.7248          33.92809019        -216.41767354       -7431.04462658
        32          16.0000        5310.4722          33.63513855        -216.16211384       -4176.31770825
        33          16.5000        5257.9346          33.30237884        -215.70856298         705.65205106
        34          17.0000        5180.3504          32.81098120        -215.22289235        5776.55721749
        35          17.5000        5044.8283          31.95261968        -214.90257789        9917.83742569
        36          18.0000        5023.2978          31.81625117        -214.81975677       13055.11716968
        37          18.5000        5107.3869          32.34884961        -215.02817588       14816.79095453
        38          19.0000        5183.2061          32.82906823        -215.48465583       14276.35320750
        39          19.5000        5229.4146          33.12174107        -215.98145153       12374.03048112
        40          20.0000        5191.7756          32.88334498        -216.32449486        9240.09460472
        41          20.5000        5292.5819          33.52182566        -216.44332820        6834.99698474
        42          21.0000        5282.8872          33.46042231        -216.34690449        4333.02995560
        43          21.5000        5182.7236          32.82601213        -216.08475966        2277.94197527
        44          22.0000        5048.0799          31.97321439        -215.71566969         327.02307893
        45          22.5000        4962.2237          31.42942387        -215.30849897        -745.46916303
        46          23.0000        4896.9511          31.01600420        -214.91637940          11.47442186
        47          23.5000        4892.3705          30.98699201        -214.59720312         941.98016136
        48          24.0000        4982.9815          31.56089806        -214.36985585        2239.74573284
        49          24.5000        4971.5798          31.48868305        -214.16638974        4272.45289709
        50          25.0000        4996.8428          31.64869207        -213.95843193        6693.84531475
        51          25.5000        4976.4266          31.51938100        -213.75476697        9467.87257720
        52          26.0000        5034.3150          31.88603134        -213.58184411       12363.63601611
        53          26.5000        4898.2658          31.02433093        -213.45102728       14422.42692791
        54          27.0000        4833.2444          30.61250276        -213.32265787       17315.03017142
        55          27.5000        4774.4539          30.24013913        -213.09451530       20095.02913306
        56          28.0000        4720.8591          29.90068362        -212.81217468       22650.96860680
        57          28.5000        4729.9086          29.95800054        -212.88834274       24531.00137013
        58          29.0000        4833.5162          30.61422438        -213.23680783       25744.36712073
        59          29.5000        4839.6913          30.65333539        -213.33953574       25825.87343558
        60          30.0000        4754.2789          30.11235567        -213.01353289       25917.82447178
        61          30.5000        4689.5743          29.70253372        -212.35633216       26750.17015049
        62          31.0000        4566.3106          28.92181417        -211.89659144       26772.82581657
        63          31.5000        4562.3227          28.89655559        -212.16206595       25869.98062169
        64          32.0000        4674.2086          29.60521165        -212.82102809       24700.76880620
        65          32.5000        4733.1999          29.97884722        -213.33550967       25018.19213308
        66          33.0000        4630.5520          29.32870237        -213.55326976       24760.56586659
        67          33.5000        4643.1650          29.40858944        -213.55828072       24353.05744623
        68          34.0000        4587.0572          29.05321772        -213.38237210       24029.87825221
        69          34.5000        4590.5849          29.07556095        -213.03224497       24090.32340049
        70          35.0000        4536.6726          28.73409469        -212.53636073       23985.43822589
        71          35.5000        4408.7843          27.92408333        -211.96541127       24717.11565200
        72          36.0000        4301.7776          27.24633142        -211.41538433       24502.80088415
        73          36.5000        4184.7051          26.50482500        -210.95246366       23905.30027465
        74          37.0000        4109.2934          26.02718678        -210.65962831       22769.02935195
        75          37.5000        4182.4859          26.49076893        -211.07134368       20610.99401680
        76          38.0000        4338.5859          27.47946510        -212.35659460       16980.49198573
        77          38.5000        4606.4393          29.17597879        -213.75274819       14699.60016595
        78          39.0000        4740.2821          30.02370401        -214.76782383       13194.02728088
        79          39.5000        4766.7253          30.19118795        -215.37529477       11950.51358763
        80          40.0000        4784.5320          30.30397116        -215.72007513       11858.12453147
        81          40.5000        4813.0935          30.48487187        -215.97053614       12706.71527924
        82          41.0000        4794.0560          30.36429355        -216.27471576       14167.12045255
        83          41.5000        4800.6749          30.40621575        -216.70156738       14886.26176070
        84          42.0000        4905.9822          31.07320472        -217.22873516       15926.11000181
        85          42.5000        5025.1963          31.82827568        -217.80530406       16718.34606711
        86          43.0000        5111.2666          32.37342260        -218.39634856       17399.68373307
        87          43.5000        5273.4239          33.40048438        -219.04945310       18095.29371337
        88          44.0000        5412.7445          34.28290431        -219.76092887       19572.03468342
        89          44.5000        5498.5848          34.82659396        -220.35189029       20538.86415536
        90          45.0000        5576.4030          35.31947441        -220.53562848       22204.20665563
        91          45.5000        5402.8901          34.22048903        -219.90361394       25229.79113150
        92          46.0000        5156.8641          32.66222485        -218.34232095       28375.44378433
        93          46.5000        4850.3388          30.72077426        -216.75010833       29680.46417085
        94          47.0000        4757.9580          30.13565821        -216.20158489       29397.38968966
        95          47.5000        4856.4468          30.75946074        -216.97532623       27701.77586717
        96          48.0000        4995.8978          31.64270659        -218.22223831       24104.44407729
        97          48.5000        5175.1375          32.77796395        -218.98798111       20507.22728350
        98          49.0000        5126.9397          32.47269175        -218.95893701       17222.31520417
        99          49.5000        5180.2598          32.81040706        -218.43151034       16501.98676633
       100          50.0000        4980.7478          31.54675046        -217.61586079       16675.38626659
       101          50.5000        4849.3064          30.71423488        -216.73420593       18848.77270433
       102          51.0000        4716.6995          29.87433780        -215.98521937       20359.02843737
       103          51.5000        4564.0776          28.90767078        -215.55002401       20926.63723120
       104          52.0000        4525.6314          28.66416247        -215.48302732       22019.37225452
       105          52.5000        4566.1453          28.92076726        -215.62037213       22562.73296060
       106          53.0000        4621.4183          29.27085158        -215.72455479       23102.15481076
       107          53.5000        4644.4931          29.41700149        -215.56821346       23312.44654942
       108          54.0000        4488.6447          28.42989856        -215.14018109       23529.75717779
       109          54.5000        4383.6787          27.76507135        -214.64023570       25035.40746764
       110          55.0000        4305.8526          27.27214131        -214.37162532       25675.20433923
       111          55.5000        4270.5720          27.04868331        -214.58519826       24973.21101080
       112          56.0000        4364.9604          27.64651482        -214.95215617       25308.85993554
       113          56.5000        4375.1085          27.71079004        -215.16554982       26074.88544848
       114          57.0000        4321.6787          27.37237992        -215.18770941       26556.82662881
       115          57.5000        4265.5293          27.01674420        -214.90869393       26992.78305555
       116          58.0000        4258.2981          26.97094371        -214.32738257       28678.62653592
       117          58.5000        4122.7688          26.11253652        -213.75200512       28965.98788163
       118          59.0000        4047.0564          25.63299418        -213.74292467       28315.29682845
       119          59.5000        4116.6891          26.07402920        -214.49713655       27721.94562064
       120          60.0000        4232.1566          26.80537040        -215.69560274       25079.55387082
       121          60.5000        4319.3396          27.35756467        -216.90777446       20707.24318535
       122          61.0000        4462.3360          28.26326588        -217.93478811       17295.07711565
       123          61.5000        4622.9349          29.28045723        -218.86762316       14531.02665372
       124          62.0000        4734.2716          29.98563461        -219.76724294       13139.02862067
       125          62.5000        4774.2534          30.23886884        -220.51397268       11701.96419204
       126          63.0000        4794.0605          30.36432217        -220.93995927       10685.63593033
       127          63.5000        4825.1142          30.56100829        -220.98217747       10564.44395867
       128          64.0000        4755.7445          30.12163873        -220.88700258       11305.55214136
       129          64.5000        4689.5855          29.70260505        -220.94623210       12662.14128899
       130          65.0000        4731.1155          29.96564520        -221.00490361       15365.31967357
       131          65.5000        4707.0058          29.81294060        -220.99066967       17646.58872021
       132          66.0000        4752.8016          30.10299873        -220.98286127       20365.96907467
       133          66.5000        4717.4532          29.87911177        -220.91164185       24176.10011226
       134          67.0000        4702.6636          29.78543830        -220.58191669       28229.97663568
       135          67.5000        4637.8064          29.37464934        -220.03729513       31533.31390425
       136          68.0000        4546.7738          28.79807317        -219.72172314       33725.57204879
       137          68.5000        4621.2125          29.26954793        -219.89303242       35414.53221493
       138          69.0000        4747.0134          30.06633810        -220.15237881       36324.87928713
       139          69.5000        4752.4901          30.10102605        -220.17708468       35175.81010908
       140          70.0000        4738.0461          30.00954126        -219.96907303       33102.36361769
       141          70.5000        4647.7846          29.43784917        -219.60864526       30685.09548596
       142          71.0000        4553.1849          28.83867910        -219.14947151       29475.23565526
       143          71.5000        4429.1569          28.05311804        -218.60356742       28712.31812866
       144          72.0000        4345.7414          27.52478625        -218.02861541       28476.46581356
       145          72.5000        4312.6781          27.31537200        -217.60264269       27290.25000770
       146          73.0000        4253.1321          26.93822348        -217.61251477       24856.26977054
       147          73.5000        4282.6487          27.12517388        -218.09532844       22723.48408950
       148          74.0000        4360.5921          27.61884665        -218.71020029       21791.52309882
       149          74.5000        4521.0550          28.63517702        -219.15134499       23507.32026634
       150          75.0000        4549.6822          28.81649372        -219.26192787       26725.15203712
       151          75.5000        4541.6448          28.76558692        -219.10222141       29754.22979982
       152          76.0000        4478.7498          28.36722653        -218.92615171       31360.88338627
       153          76.5000        4393.3271          27.82618210        -218.69827354       32452.19492973
       154          77.0000        4379.6667          27.73966035        -218.51109137       32409.96817360
       155          77.5000        4475.7636          28.34831308        -218.85755516       30612.35488708
       156          78.0000        4515.4471          28.59965766        -219.35393948       27827.66281543
       157          78.5000        4541.8988          28.76719600        -219.70215430       23841.43055500
       158          79.0000        4535.3161          28.72550292        -219.82705397       19054.58731558
       159          79.5000        4417.5960          27.97989444        -219.77006446       14346.96991655
       160          80.0000        4385.2820          27.77522593        -219.63608080       11406.42639055
       161          80.5000        4306.8340          27.27835723        -219.41500421        9046.30526128
       162          81.0000        4279.1592          27.10307239        -219.03889357        8201.92114002
       163          81.5000        4170.9879          26.41794336        -218.48545080        7748.34628470
       164          82.0000        4102.0960          25.98160032        -217.80632940        8021.39712691
       165          82.5000        3972.0673          25.15803275        -217.12446104        9547.66290400
       166          83.0000        3855.3183          24.41857508        -216.67276144       11532.41100095
       167          83.5000        3791.5498          24.01468232        -216.48687916       14227.78714128
       168          84.0000        3762.5630          23.83108731        -216.52116596       16998.67564363
       169          84.5000        3739.5508          23.68533440        -216.66352320       19230.51840208
       170          85.0000        3665.3349          23.21527007        -216.71310589       21425.63761261
       171          85.5000        3623.7349          22.95178691        -216.68719021       22876.37157284
       172          86.0000        3716.6059          23.54000747        -217.11630276       24076.40726757
       173          86.5000        3890.3931          24.64072974        -218.05719101       25007.43485786
       174          87.0000        3963.9037          25.10632671        -218.87113523       25869.37969325
       175          87.5000        4015.2900          25.43179388        -219.29053228       26766.08323609
       176          88.0000        4161.3030          26.35660220        -219.52743823       27143.82630459
       177          88.5000        4334.6645          27.45462846        -220.07615952       25848.51717888
       178          89.0000        4418.0035          27.98247553        -220.83589727       22571.83277356
       179          89.5000        4527.6559          28.67698510        -221.41573565       19748.85227781
