#     Step             Time      Temperature                E_kin                     E_pot             Pressure
         0           0.0000        4691.0294          29.71175013        -244.83605957        9317.75385429
         1           0.5000        4544.1240          28.78128977        -244.18473216        6205.01461128
         2           1.0000        4459.9649          28.24824804        -243.75878746        4038.62310144
         3           1.5000        4467.3240          28.29485875        -243.57135650        4126.32122408
         4           2.0000        4521.9684          28.64096182        -243.59601906        5108.39813691
         5           2.5000        4601.6656          29.14574308        -243.80936304        6590.24721915
         6           3.0000        4596.5146          29.11311812        -244.13430123        8109.74375862
         7           3.5000        4603.8496          29.15957599        -244.48256870       10207.68117475
         8           4.0000        4679.3685          29.63789283        -244.77383742       12964.15259806
         9           4.5000        4621.5454          29.27165634        -244.93713364       14806.04321300
        10           5.0000        4576.9751          28.98935980        -244.93440569       17540.23773233
        11           5.5000        4566.2103          28.92117849        -244.80315559       19856.49615133
        12           6.0000        4562.7433          28.89921987        -244.67564503       21848.78536660
        13           6.5000        4517.8974          28.61517758        -244.69907370       22747.72832350
        14           7.0000        4422.5054          28.01098925        -244.87328943       22514.51722680
        15           7.5000        4485.9755          28.41299274        -245.11141697       22073.83060532
        16           8.0000        4563.5493          28.90432452        -245.39962367       20772.08224651
        17           8.5000        4599.5702          29.13247121        -245.72607727       19327.04801953
        18           9.0000        4631.4223          29.33421467        -246.04323715       16883.50305947
        19           9.5000        4592.2265          29.08595821        -246.25445130       14774.93376953
        20          10.0000        4590.0083          29.07190874        -246.30618947       13250.30666096
        21          10.5000        4547.5027          28.80268937        -246.23323597       11800.17409559
        22          11.0000        4450.8948          28.19080039        -246.10579045       10392.33338500
        23          11.5000        4393.0976          27.82472851        -245.96044680        9442.43513206
        24          12.0000        4275.6907          27.08110374        -245.71964655        8364.33153778
        25          12.5000        4216.3831          26.70546512        -245.34802498        7608.05925024
        26          13.0000        4245.5743          26.89035408        -244.98844818        6954.61886807
        27          13.5000        4282.0702          27.12150974        -244.72712741        6390.29844747
        28          14.0000        4267.7793          27.03099525        -244.58035292        5359.99945497
        29          14.5000        4272.8970          27.06340927        -244.58117279        4375.12444716
        30          15.0000        4241.1217          26.86215244        -244.63621820        2498.51403679
        31          15.5000        4217.7965          26.71441695        -244.63152125         657.21814387
        32          16.0000        4200.4568          26.60459191        -244.52370463       -1356.91939607
        33          16.5000        4170.4975          26.41483758        -244.21337700       -2718.47807303
        34          17.0000        4075.9163          25.81578530        -243.59513461       -4229.82297565
        35          17.5000        3885.5874          24.61029192        -242.80924465       -7664.04748279
        36          18.0000        3801.1074          24.07521764        -242.28224300      -10872.72871063
        37          18.5000        3845.8810          24.35880203        -242.25848101      -13133.83466901
        38          19.0000        3909.4762          24.76159706        -242.62029011      -15657.97794371
        39          19.5000        3946.9389          24.99887615        -243.00811562      -18638.91077928
        40          20.0000        3890.3514          24.64046565        -243.12286615      -21171.19289221
        41          20.5000        3939.1595          24.94960307        -242.93904698      -21711.50579344
        42          21.0000        3890.1071          24.63891844        -242.55805311      -21742.61552305
        43          21.5000        3782.6423          23.95826441        -242.13614637      -21461.57560640
        44          22.0000        3699.5003          23.43166467        -241.99179150      -22436.85927011
        45          22.5000        3701.2518          23.44275857        -242.09700077      -22965.21385251
        46          23.0000        3734.8582          23.65561236        -242.29715746      -23365.17583817
        47          23.5000        3823.7558          24.21866676        -242.57672021      -24423.06467881
        48          24.0000        3991.0142          25.27803721        -242.88648470      -25934.60178050
        49          24.5000        4057.3529          25.69820923        -243.15850447      -28343.28633413
        50          25.0000        4150.8857          26.29062182        -243.38339361      -30402.33505832
        51          25.5000        4201.2781          26.60979397        -243.60940751      -31636.58988279
        52          26.0000        4325.9865          27.39966387        -243.87074513      -31520.01728247
        53          26.5000        4271.3136          27.05338022        -244.18994277      -32604.08910098
        54          27.0000        4283.0041          27.12742504        -244.51531003      -33784.92564459
        55          27.5000        4296.7862          27.21471680        -244.72524151      -33979.46462173
        56          28.0000        4286.2567          27.14802574        -244.73179818      -32939.69030869
        57          28.5000        4256.0733          26.95685244        -244.53174281      -31305.21893436
        58          29.0000        4266.0970          27.02033957        -244.24311173      -28144.83701773
        59          29.5000        4222.6370          26.74507565        -244.00083001      -24338.53726208
        60          30.0000        4170.7498          26.41643577        -243.86063118      -19492.73352005
        61          30.5000        4196.3692          26.57870227        -243.79826291      -13216.73700494
        62          31.0000        4146.6987          26.26410224        -243.81529025       -7424.87955540
        63          31.5000        4125.6910          26.13104487        -243.92990593       -2212.66639321
        64          32.0000        4168.4710          26.40200199        -244.11534500        3476.78148892
        65          32.5000        4184.0348          26.50057928        -244.32642068        8964.62778227
        66          33.0000        4099.7718          25.96687935        -244.60064776       13222.97522187
        67          33.5000        4181.3974          26.48387460        -245.03542762       17113.95464791
        68          34.0000        4241.1384          26.86225868        -245.58688969       19808.64163157
        69          34.5000        4375.2795          27.71187326        -246.06790779       22333.77632761
        70          35.0000        4450.0840          28.18566535        -246.37828843       22503.64472773
        71          35.5000        4442.6323          28.13846827        -246.57161593       20901.13078906
        72          36.0000        4426.4608          28.03604206        -246.62462762       18748.60623163
        73          36.5000        4342.4531          27.50395908        -246.36276833       14669.66385866
        74          37.0000        4246.3981          26.89557174        -245.95693608        8334.09155268
        75          37.5000        4216.3339          26.70515327        -245.72710676        2404.69445643
        76          38.0000        4189.0091          26.53208539        -245.78715851       -1753.08022100
        77          38.5000        4304.5384          27.26381730        -246.20531130       -4190.78085992
        78          39.0000        4375.3839          27.71253444        -246.83421182       -6371.32667052
        79          39.5000        4384.3879          27.76956352        -247.32233256      -10271.37577773
        80          40.0000        4385.7697          27.77831538        -247.53495299      -13307.00408672
        81          40.5000        4394.4504          27.83329654        -247.64250983      -16120.48490010
        82          41.0000        4358.1048          27.60309297        -247.80385699      -18919.16396966
        83          41.5000        4351.9673          27.56421989        -248.11529098      -20561.75438090
        84          42.0000        4450.4036          28.18768923        -248.59394646      -20251.67439322
        85          42.5000        4567.5515          28.92967370        -249.15631261      -19008.09951106
        86          43.0000        4644.3095          29.41583847        -249.68327228      -17286.11670332
        87          43.5000        4765.9352          30.18618395        -250.08124783      -13956.73039943
        88          44.0000        4834.0485          30.61759572        -250.31176037      -10390.77215347
        89          44.5000        4854.2810          30.74574319        -250.43070087       -7711.69433155
        90          45.0000        4933.3943          31.24682589        -250.58321930       -4280.97411449
        91          45.5000        4913.6735          31.12191922        -250.86329626       -1740.69845301
        92          46.0000        4967.8192          31.46486399        -251.24697617         681.27068772
        93          46.5000        4967.9561          31.46573110        -251.66980687        2884.37176230
        94          47.0000        5018.9067          31.78843871        -252.06758682        6993.75791090
        95          47.5000        5044.0050          31.94740494        -252.33142026       11412.69178748
        96          48.0000        5007.7931          31.71804823        -252.41282953       15346.83371593
        97          48.5000        5063.8892          32.07334611        -252.37512604       20745.98390838
        98          49.0000        4995.2616          31.63867705        -252.27151558       25292.96046236
        99          49.5000        5068.8701          32.10489414        -251.90731774       31518.53312204
       100          50.0000        4728.0018          29.94592363        -250.42323221       36787.06609644
       101          50.5000        4481.8642          28.38695269        -248.28520914       39172.03037079
       102          51.0000        4749.0117          30.07899495        -250.64211611       38054.30105343
       103          51.5000        4905.8958          31.07265758        -251.96174294       33682.58941603
       104          52.0000        4917.9970          31.14930314        -252.18908439       29332.32748470
       105          52.5000        4934.8747          31.25620247        -252.13155754       25786.42940628
       106          53.0000        4972.2049          31.49264224        -252.10117651       22814.40794407
       107          53.5000        5021.7627          31.80652819        -252.10362237       20559.26611354
       108          54.0000        4924.1195          31.18808155        -252.09921836       18102.73990056
       109          54.5000        4888.6921          30.96369365        -252.07784910       15390.21976696
       110          55.0000        4840.1840          30.65645653        -252.04544448       12954.25421187
       111          55.5000        4762.3406          30.16341682        -252.00728695        9740.97107474
       112          56.0000        4789.6011          30.33607710        -251.93012690        7186.09954755
       113          56.5000        4737.7775          30.00784002        -251.77178705        4989.89452485
       114          57.0000        4641.8769          29.40043136        -251.53331648        3018.97217929
       115          57.5000        4589.2239          29.06694052        -251.27868245        1794.62319699
       116          58.0000        4642.0435          29.40148628        -251.07196934        2076.08887968
       117          58.5000        4559.0495          28.87582403        -250.90051838        2080.83528124
       118          59.0000        4450.0217          28.18527066        -250.74044800        2187.18150203
       119          59.5000        4373.9797          27.70364022        -250.56973128        2633.49529321
       120          60.0000        4278.4629          27.09866212        -250.40992439        2759.67171872
       121          60.5000        4171.1497          26.41896832        -250.36498562        1806.99563124
       122          61.0000        4182.6522          26.49182217        -250.55461094         954.43997520
       123          61.5000        4269.2994          27.04062280        -251.02137083        1311.35861612
       124          62.0000        4344.5113          27.51699545        -251.67829653        1784.26993960
       125          62.5000        4372.9902          27.69737291        -252.32731100        2191.32960171
       126          63.0000        4401.7656          27.87962914        -252.78024885        3009.60798889
